id,sku,product_name,category,price,currency,stock,rating,in_stock,supplier
1,sku-1001,wireless mouse,office,133.77,usd,35,4.3,1,officehub
2,sku-1002,ultra-light mouse,electronics,121.04,usd,129,3.9,1,officehub
3,sku-1003,heavy-duty water bottle,home & kitchen,232.87,usd,71,4.5,1,abc supplies
4,sku-1004,compact backpack,home & kitchen,119.43,usd,195,3.2,1,abc supplies
5,sku-1005,compact notebook,office,406.46,usd,186,3.5,1,abc supplies
6,sku-1006,wireless mouse,office,0.0,usd,130,2.5,1,techworld ltd
7,sku-1007,wireless water bottle,office,234.9,usd,213,3.3,1,global goods
8,sku-1008,wireless notebook,home & kitchen,274.06,usd,62,2.7,1,prime distributors
9,sku-1009,portable charger,office,423.78,usd,198,2.5,1,abc supplies
10,sku-1010,portable desk lamp,outdoor,440.04,$,130,2.9,1,prime distributors
11,sku-1011,ergonomic keyboard,home & kitchen,376.32,$,137,3.0,1,officehub
12,sku-1012,portable keyboard,outdoor,254.36,usd,193,2.4,1,abc supplies
13,sku-1013,solar notebook,electronics,201.61,usd,152,5.0,1,officehub
14,sku-1014,wireless charger,outdoor,379.18,usd,196,4.0,1,abc supplies
15,sku-1015,ultra-light desk lamp,office,486.37,usd,195,4.0,1,abc supplies
16,sku-1016,portable keyboard,office,384.82,usd,138,4.9,1,officehub
17,sku-1017,modular mouse,electronics,465.61,usd,224,5.0,1,global goods
18,sku-1018,foldable chair,electronics,369.98,usd,208,2.5,1,officehub
19,sku-1019,modular monitor stand,home & kitchen,143.55,usd,130,3.9,1,unknown
20,sku-1020,ergonomic water bottle,office,227.48,usd,132,4.5,1,abc supplies
21,sku-1021,ultra-light notebook,outdoor,126.61,usd,120,2.3,1,abc supplies
22,sku-1022,ultra-light mouse,office,251.96,usd,120,3.1,1,abc supplies
23,sku-1023,foldable notebook,unknown,132.85,usd,121,4.5,1,techworld ltd
24,sku-1024,solar desk lamp,accessories,214.38,usd,221,4.3,1,abc supplies
25,sku-1025,compact webcam,electronics,135.6,usd,48,3.7,0,techworld ltd
26,sku-1026,wireless mouse,electronics,229.92,usd,220,4.6,1,abc supplies
27,sku1027,ultra-light chair,home & kitchen,95.66,usd,124,3.6,1,prime distributors
28,sku-1028,ultra-light water bottle,office,251.96,usd,200,3.5,1,unknown
29,sku-1029,portable backpack,home & kitchen,251.96,usd,120,4.3,0,abc supplies
30,sku-1030,modular monitor stand,outdoor,91.35,usd,130,3.6,1,techworld ltd
31,sku-1006,portable water bottle,electronics,471.67,usd,145,3.8,1,officehub
32,sku-1032,solar charger,outdoor,289.14,inr,80,4.8,1,techworld ltd
33,sku-1033,wireless mouse,office,236.75,usd,237,4.3,1,abc supplies
34,sku-1034,foldable chair,electronics,275.75,usd,129,3.0,1,global goods
35,sku-1035,ergonomic keyboard,accessories,419.37,usd,180,3.1,1,officehub
36,sku-1036,heavy-duty backpack,electronics,470.38,usd,34,3.0,1,abc supplies
37,sku-1037,foldable headphones,office,113.74,usd,162,4.6,1,officehub
38,sku-1038,solar mouse,office,36.38,usd,85,4.4,1,global goods
39,sku-1039,heavy-duty desk lamp,accessories,287.04,usd,28,2.5,1,techworld ltd
40,sku-1040,smart water bottle,home & kitchen,35.29,usd,93,4.7,1,abc supplies
41,sku-1041,wireless desk lamp,outdoor,443.81,usd,104,4.9,1,techworld ltd
42,sku-1042,smart desk lamp,accessories,27.02,usd,188,4.8,1,prime distributors
44,sku-1044,modular desk lamp,office,412.96,usd,223,2.9,1,abc supplies
45,sku-1045,wireless webcam,elec,185.31,usd,130,3.4,0,officehub
46,sku-1046,ergonomic keyboard,outdoor,481.83,usd,67,2.4,1,officehub
47,sku-1047,compact water bottle,outdoor,492.35,usd,29,3.3,1,officehub
