2026-09-16 16:25:39,794 | ETL | main | INFO | ETL pipeline started
2026-09-16 16:25:39,795 | ETL | main | INFO | Extracting student records from messy_student_records.json
2026-09-16 16:25:39,795 | ETL | extract | INFO | Extraction started: file=messy_student_records.json
2026-09-16 16:25:39,934 | ETL | extract | INFO | Extraction completed : records=100
2026-09-16 16:25:39,934 | ETL | main | INFO | Extraction completed: 100 records
2026-09-16 16:25:39,934 | ETL | main | INFO | Transformation started
2026-09-16 16:25:40,008 | ETL | main | INFO | Duplicate records found: 5
2026-09-16 16:25:40,008 | ETL | transform | INFO | Transformation started: input_records=100
2026-09-16 16:25:40,008 | ETL | transform | INFO | Step started: convert data types
2026-09-16 16:25:40,055 | ETL | transform | INFO | Step started: handle missing values
2026-09-16 16:25:40,072 | ETL | transform | INFO | Step started: remove duplicates
2026-09-16 16:25:40,089 | ETL | transform | INFO | Duplicates handled : removed=5
2026-09-16 16:25:40,089 | ETL | transform | INFO | Step started: standardize text
2026-09-16 16:25:40,100 | ETL | transform | INFO | Step started: apply business rules
2026-09-16 16:25:40,109 | ETL | transform | INFO | Transformation completed : output_records=95
2026-09-16 16:25:40,110 | ETL | main | INFO | Transformation completed: 95 records
2026-09-16 16:25:40,110 | ETL | main | INFO | Validation started
2026-09-16 16:25:40,110 | ETL | validate | INFO | Validation started: 95 records
2026-09-16 16:25:40,169 | ETL | validate | INFO | Valid records: 94
2026-09-16 16:25:40,170 | ETL | validate | INFO | Invalid records: 1
2026-09-16 16:25:40,170 | ETL | main | INFO | Validation completed: 94 valid records
2026-09-16 16:25:40,170 | ETL | main | WARNING | Invalid records found: 1
2026-09-16 16:25:40,198 | ETL | main | WARNING | Invalid records saved to invalid_student_records.csv
2026-09-16 16:25:40,198 | ETL | load | INFO | Loading started: 94 records
2026-09-16 16:25:40,809 | ETL | load | INFO | Database connection successful
2026-09-16 16:25:40,839 | ETL | load | INFO | Students table checked/created
2026-09-16 16:25:40,841 | ETL | load | INFO | Loading batch 1/5: 20 records
2026-09-16 16:25:40,890 | ETL | load | INFO | Loading batch 2/5: 20 records
2026-09-16 16:25:40,914 | ETL | load | INFO | Loading batch 3/5: 20 records
2026-09-16 16:25:40,935 | ETL | load | INFO | Loading batch 4/5: 20 records
2026-09-16 16:25:40,947 | ETL | load | INFO | Loading batch 5/5: 14 records
2026-09-16 16:25:40,974 | ETL | load | INFO | Loading completed: 94 records
2026-09-16 16:25:40,975 | ETL | load | INFO | Database connection closed
2026-09-16 16:25:40,975 | ETL | main | INFO | Loading completed: 94 records
2026-09-16 16:25:40,975 | ETL | main | INFO | ETL pipeline completed successfully
2026-09-16 16:25:40,975 | ETL | main | INFO | ETL pipeline ended
